272;194;150;136;124;108;94;88;86;80;76;72;70;68;68;68;66;66;62;62;60;56;56;56;56;54;50;50;50;50;48;48;48;48;48;48;48;46;46;46;46;44;44;44;44;44;44;44;44;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;40;40;40;40;40;40;40;40;40;40;40;40;38;38;38;38;38;38;38;38;38;38;36;36;36;36;36;36;36;34;34;34;
264;202;166;134;122;112;108;100;94;88;84;80;78;76;76;70;64;64;62;60;60;60;60;60;60;58;56;54;52;52;52;52;50;48;48;46;42;40;40;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;36;36;36;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;32;30;30;30;30;30;30;30;30;30;30;30;30;28;28;28;28;28;28;28;
258;186;152;132;118;102;96;84;82;78;74;70;68;68;64;64;62;62;60;58;58;58;54;52;50;48;46;46;46;42;42;42;42;40;40;40;40;40;40;40;40;40;40;40;40;40;40;38;38;36;36;36;36;36;36;36;34;34;34;34;34;32;32;32;32;32;32;32;32;32;32;30;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;
262;198;166;128;120;112;110;106;100;96;92;92;90;86;84;84;82;80;78;76;74;74;70;66;64;62;62;58;56;52;48;48;48;48;46;46;46;44;44;44;44;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;36;36;36;36;36;36;36;36;34;32;32;32;32;32;32;32;32;32;32;32;32;32;
254;202;166;136;120;110;104;98;88;84;78;74;70;66;66;66;66;60;58;58;58;58;56;56;56;54;54;52;52;52;52;52;52;50;50;48;48;46;46;44;44;42;40;40;40;40;40;38;38;38;38;36;36;36;36;36;36;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;32;32;32;32;32;30;30;30;30;30;30;30;30;30;30;28;28;28;28;28;26;24;24;24;24;24;
262;186;156;150;128;118;104;98;92;86;82;78;74;70;68;68;68;66;66;62;60;60;60;60;58;58;58;58;56;56;56;56;56;56;56;54;54;54;52;52;52;52;52;52;48;48;46;46;46;46;46;46;46;46;46;46;44;44;44;44;44;44;44;44;44;44;44;44;42;42;42;42;42;42;42;42;42;42;42;42;40;40;40;40;40;40;40;40;40;40;40;40;38;38;38;36;36;36;36;36;
260;194;164;148;132;110;98;94;82;80;78;74;72;72;70;68;66;60;60;56;56;52;50;50;50;48;48;48;46;46;46;46;46;44;42;42;42;42;40;38;38;38;38;38;38;38;36;36;36;36;34;34;34;34;34;32;32;32;32;32;32;32;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;28;28;28;28;28;28;28;28;28;26;26;26;26;26;26;26;26;26;26;26;26;
260;200;160;142;124;108;104;98;94;92;86;86;80;80;80;78;78;74;74;70;70;66;64;64;62;62;56;54;54;54;54;52;52;50;50;48;48;46;44;44;44;44;44;44;42;42;42;42;42;42;42;42;42;40;38;36;34;34;34;34;34;34;34;34;34;34;34;32;32;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;28;28;28;28;28;26;26;26;26;26;26;26;26;26;26;
256;190;146;120;110;102;96;94;90;84;82;78;74;66;62;58;56;56;56;54;54;54;54;54;52;52;52;52;52;52;50;50;48;46;44;44;44;42;42;42;42;38;38;38;38;38;38;38;38;38;38;38;38;36;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;30;30;30;30;30;30;30;30;30;30;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;
256;182;154;132;108;100;96;92;86;84;82;78;78;66;66;66;64;62;58;56;56;54;54;54;54;54;54;52;52;52;52;48;48;48;46;44;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;
244;174;162;138;128;116;98;88;84;80;76;72;72;72;72;72;72;70;64;64;64;64;64;64;64;60;60;58;56;54;54;54;52;52;52;50;50;50;50;50;50;50;50;48;48;48;46;44;44;42;42;42;42;42;42;42;42;40;40;40;40;40;40;40;40;40;38;38;38;38;36;36;36;36;36;36;36;34;34;34;32;32;32;32;32;32;30;30;30;30;30;30;30;30;30;30;28;28;28;28;
254;186;162;148;128;118;112;104;102;100;92;90;84;82;78;74;72;68;64;60;60;60;58;58;56;56;52;52;52;52;52;52;52;52;52;52;52;52;52;50;50;48;48;48;48;46;46;46;46;46;44;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;40;38;38;38;38;38;38;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;34;34;34;32;32;32;32;
278;186;158;144;118;108;102;94;80;78;74;70;68;66;66;62;60;56;54;52;50;50;48;48;44;44;42;40;40;38;38;38;38;38;38;38;36;32;32;32;32;32;32;30;30;30;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;
260;186;156;136;120;116;112;108;102;90;88;82;80;80;76;76;74;74;72;66;66;66;62;62;60;60;58;58;58;56;56;56;54;54;54;54;54;54;52;52;52;52;52;52;52;50;48;46;46;46;46;44;44;44;44;44;44;44;44;40;40;38;38;38;36;36;36;36;36;34;34;34;34;34;34;34;34;34;34;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;
260;204;150;138;116;104;102;98;94;92;90;90;86;82;78;74;70;70;68;66;64;64;64;64;62;60;58;58;56;54;50;50;50;48;48;46;44;44;44;44;42;42;38;38;38;38;38;38;38;38;38;38;38;38;36;36;36;36;36;36;36;36;36;36;36;36;34;34;34;34;34;34;34;32;32;32;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;
